2025-06-07 12:36:46,407 | INFO | app.main | 🚀 FastAPI server started
2025-06-07 12:36:46,490 | DEBUG | httpcore.connection | connect_tcp.started host='qdrant' port=6333 local_address=None timeout=5.0 socket_options=None
2025-06-07 12:36:46,492 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f842f0e4790>
2025-06-07 12:36:46,493 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-06-07 12:36:46,493 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-06-07 12:36:46,494 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-06-07 12:36:46,494 | DEBUG | httpcore.http11 | send_request_body.complete
2025-06-07 12:36:46,495 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2025-06-07 12:36:46,496 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'content-type', b'application/json'), (b'content-encoding', b'gzip'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'date', b'Sat, 07 Jun 2025 12:36:46 GMT')])
2025-06-07 12:36:46,497 | INFO | httpx | HTTP Request: GET http://qdrant:6333 "HTTP/1.1 200 OK"
2025-06-07 12:36:46,497 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2025-06-07 12:36:46,498 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-06-07 12:36:46,498 | DEBUG | httpcore.http11 | response_closed.started
2025-06-07 12:36:46,499 | DEBUG | httpcore.http11 | response_closed.complete
2025-06-07 12:36:46,499 | DEBUG | httpcore.connection | close.started
2025-06-07 12:36:46,499 | DEBUG | httpcore.connection | close.complete
2025-06-07 12:37:30,129 | INFO | app.main | 🚀 FastAPI server started
2025-06-07 12:37:30,224 | DEBUG | httpcore.connection | connect_tcp.started host='qdrant' port=6333 local_address=None timeout=5.0 socket_options=None
2025-06-07 12:37:30,227 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f790f5984f0>
2025-06-07 12:37:30,228 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-06-07 12:37:30,228 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-06-07 12:37:30,229 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-06-07 12:37:30,229 | DEBUG | httpcore.http11 | send_request_body.complete
2025-06-07 12:37:30,229 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
